Reaction,Ground turth,LocalMapper,RXNMapper,GraphMapper,LocalMapper_Conf,RXNMapper_Conf,Source
CC1CCCN1CCc1ccc2cc(C(O)c3cccc(F)c3)ccc2c1>>CC1CCCN1CCc1ccc2cc(C(=O)c3cccc(F)c3)ccc2c1,[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][c:14]([CH:19]([OH:20])[c:21]3[cH:22][cH:23][cH:24][c:25]([F:26])[cH:27]3)[cH:15][cH:16][c:17]2[cH:18]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][c:14]([C:19](=[O:20])[c:21]3[cH:22][cH:23][cH:24][c:25]([F:26])[cH:27]3)[cH:15][cH:16][c:17]2[cH:18]1,[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][c:14]([CH:19]([OH:20])[c:21]3[cH:22][cH:23][cH:24][c:25]([F:26])[cH:27]3)[cH:15][cH:16][c:17]2[cH:18]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][c:14]([C:19](=[O:20])[c:21]3[cH:22][cH:23][cH:24][c:25]([F:26])[cH:27]3)[cH:15][cH:16][c:17]2[cH:18]1,[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][c:14]([CH:15]([OH:16])[c:17]3[cH:18][cH:19][cH:20][c:21]([F:22])[cH:23]3)[cH:24][cH:25][c:26]2[cH:27]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][c:14]([C:15](=[O:16])[c:17]3[cH:18][cH:19][cH:20][c:21]([F:22])[cH:23]3)[cH:24][cH:25][c:26]2[cH:27]1,[CH:15]([OH:16])([c:17]1[cH:18][cH:19][cH:20][c:21]([cH:23]1)[F:22])[c:14]2[cH:24][cH:25][c:26]3[cH:27][c:9]([cH:10][cH:11][c:12]3[cH:13]2)[CH2:8][CH2:7][N:6]4[CH2:5][CH2:4][CH2:3][CH:2]4[CH3:1]>>[c:17]1([cH:18][cH:19][cH:20][c:21]([cH:23]1)[F:22])[C:15](=[O:16])[c:14]2[cH:24][cH:25][c:26]3[cH:27][c:9]([cH:10][cH:11][c:12]3[cH:13]2)[CH2:8][CH2:7][N:6]4[CH2:5][CH2:4][CH2:3][CH:2]4[CH3:1],TRUE,0.989023537,patent
CCOC(=O)C(C)(C)Oc1ccc(C)nc1.O>>Cc1ccc(OC(C)(C)C(=O)O)cn1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[C:7]([CH3:8])([CH3:9])[O:10][c:11]1[cH:12][cH:13][c:14]([CH3:15])[n:16][cH:17]1.[OH2:1]>>[OH:1][C:5](=[O:6])[C:7]([CH3:8])([CH3:9])[O:10][c:11]1[cH:12][cH:13][c:14]([CH3:15])[n:16][cH:17]1,CCO[C:5](=[O:6])[C:7]([CH3:8])([CH3:9])[O:10][c:11]1[cH:12][cH:13][c:14]([CH3:15])[n:16][cH:17]1.[OH2:1]>>[OH:1][C:5](=[O:6])[C:7]([CH3:8])([CH3:9])[O:10][c:11]1[cH:12][cH:13][c:14]([CH3:15])[n:16][cH:17]1,CC[O:12][C:10]([C:7]([O:6][c:5]1[cH:4][cH:3][c:2]([CH3:1])[n:14][cH:13]1)([CH3:8])[CH3:9])=[O:11].O>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([O:6][C:7]([CH3:8])([CH3:9])[C:10](=[O:11])[OH:12])[cH:13][n:14]1,[CH3:7][C:6]([CH3:8])([O:9][c:10]1[cH:16][n:15][c:13]([cH:12][cH:11]1)[CH3:14])[C:4]([O:3][CH2:2][CH3:1])=[O:5].[OH2:17]>>[CH3:7][C:6]([CH3:8])([O:9][c:10]1[cH:16][n:15][c:13]([cH:12][cH:11]1)[CH3:14])[C:4](=[O:5])[OH:17],TRUE,0.708807415,patent
COC(=O)c1cc(NS(=O)(=O)c2ccc(C(C)C)cn2)c(Oc2ccccc2OC)c(OCCOC2CCCCO2)c1>>COC(=O)c1cc(NS(=O)(=O)c2ccc(C(C)C)cn2)c(Oc2ccccc2OC)c(OCCO)c1,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([NH:8][S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH:18]([CH3:19])[CH3:20])[cH:16][n:17]2)[c:21]([O:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[O:29][CH3:30])[c:31]([O:32][CH2:33][CH2:34][O:35][CH:36]2[CH2:37][CH2:38][CH2:39][CH2:40][O:41]2)[cH:42]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([NH:8][S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH:18]([CH3:19])[CH3:20])[cH:16][n:17]2)[c:21]([O:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[O:29][CH3:30])[c:31]([O:32][CH2:33][CH2:34][OH:35])[cH:42]1,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([NH:8][S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH:18]([CH3:19])[CH3:20])[cH:16][n:17]2)[c:21]([O:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[O:29][CH3:30])[c:31]([O:32][CH2:33][CH2:34][O:35]C2CCCCO2)[cH:42]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([NH:8][S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH:18]([CH3:19])[CH3:20])[cH:16][n:17]2)[c:21]([O:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[O:29][CH3:30])[c:31]([O:32][CH2:33][CH2:34][OH:35])[cH:42]1,C1CCC([O:35][CH2:34][CH2:33][O:32][c:31]2[c:21]([O:22][c:23]3[cH:24][cH:25][cH:26][cH:27][c:28]3[O:29][CH3:30])[c:7]([NH:8][S:9](=[O:10])(=[O:11])[c:12]3[cH:13][cH:14][c:15]([CH:16]([CH3:17])[CH3:18])[cH:19][n:20]3)[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:36]2)OC1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([NH:8][S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH:16]([CH3:17])[CH3:18])[cH:19][n:20]2)[c:21]([O:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[O:29][CH3:30])[c:31]([O:32][CH2:33][CH2:34][OH:35])[cH:36]1,[O:10]=[S:9](=[O:11])([c:12]1[n:20][cH:19][c:15]([CH:16]([CH3:17])[CH3:18])[cH:14][cH:13]1)[NH:8][c:7]2[c:21]([c:31]([cH:42][c:5]([cH:6]2)[C:3](=[O:4])[O:2][CH3:1])[O:32][CH2:33][CH2:34][O:35][CH:36]3[O:41][CH2:40][CH2:39][CH2:38][CH2:37]3)[O:22][c:23]4[cH:24][cH:25][cH:26][cH:27][c:28]4[O:29][CH3:30]>>[O:10]=[S:9](=[O:11])([c:12]1[n:20][cH:19][c:15]([CH:16]([CH3:17])[CH3:18])[cH:14][cH:13]1)[NH:8][c:7]2[c:21]([O:22][c:23]3[c:28]([cH:27][cH:26][cH:25][cH:24]3)[O:29][CH3:30])[c:31]([O:32][CH2:33][CH2:34][OH:35])[cH:42][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:6]2,TRUE,0.365964027,patent
CCOC(=O)CCN(C)C(=O)c1ccc(NC(c2oc3ccc(F)cc3c2C)C(CC)CC)cc1.O>>CCC(CC)C(Nc1ccc(C(=O)N(C)CCC(=O)O)cc1)c1oc2ccc(F)cc2c1C,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][CH2:8][N:9]([CH3:10])[C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16]([NH:17][CH:18]([CH:19]([CH2:20][CH3:21])[CH2:22][CH3:23])[c:24]2[o:25][c:26]3[cH:27][cH:28][c:29]([F:30])[cH:31][c:32]3[c:33]2[CH3:34])[cH:35][cH:36]1.[OH2:1]>>[OH:1][C:5](=[O:6])[CH2:7][CH2:8][N:9]([CH3:10])[C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16]([NH:17][CH:18]([CH:19]([CH2:20][CH3:21])[CH2:22][CH3:23])[c:24]2[o:25][c:26]3[cH:27][cH:28][c:29]([F:30])[cH:31][c:32]3[c:33]2[CH3:34])[cH:35][cH:36]1,CCO[C:5](=[O:6])[CH2:7][CH2:8][N:9]([CH3:10])[C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16]([NH:17][CH:18]([CH:19]([CH2:20][CH3:21])[CH2:22][CH3:23])[c:24]2[o:25][c:26]3[cH:27][cH:28][c:29]([F:30])[cH:31][c:32]3[c:33]2[CH3:34])[cH:35][cH:36]1.[OH2:1]>>[OH:1][C:5](=[O:6])[CH2:7][CH2:8][N:9]([CH3:10])[C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16]([NH:17][CH:18]([CH:19]([CH2:20][CH3:21])[CH2:22][CH3:23])[c:24]2[o:25][c:26]3[cH:27][cH:28][c:29]([F:30])[cH:31][c:32]3[c:33]2[CH3:34])[cH:35][cH:36]1,CC[O:20][C:18]([CH2:17][CH2:16][N:14]([C:12]([c:11]1[cH:10][cH:9][c:8]([NH:7][CH:6]([CH:3]([CH2:2][CH3:1])[CH2:4][CH3:5])[c:23]2[o:24][c:25]3[cH:26][cH:27][c:28]([F:29])[cH:30][c:31]3[c:32]2[CH3:33])[cH:22][cH:21]1)=[O:13])[CH3:15])=[O:19].O>>[CH3:1][CH2:2][CH:3]([CH2:4][CH3:5])[CH:6]([NH:7][c:8]1[cH:9][cH:10][c:11]([C:12](=[O:13])[N:14]([CH3:15])[CH2:16][CH2:17][C:18](=[O:19])[OH:20])[cH:21][cH:22]1)[c:23]1[o:24][c:25]2[cH:26][cH:27][c:28]([F:29])[cH:30][c:31]2[c:32]1[CH3:33],[CH3:20][CH2:19][CH:18]([CH2:21][CH3:22])[CH:17]([NH:16][c:15]1[cH:34][cH:35][c:12]([cH:13][cH:14]1)[C:10]([N:8]([CH2:7][CH2:6][C:4]([O:3][CH2:2][CH3:1])=[O:5])[CH3:9])=[O:11])[c:23]2[o:24][c:25]3[c:31]([cH:30][c:28]([F:29])[cH:27][cH:26]3)[c:32]2[CH3:33].[OH2:36]>>[CH3:20][CH2:19][CH:18]([CH2:21][CH3:22])[CH:17]([NH:16][c:15]1[cH:34][cH:35][c:12]([cH:13][cH:14]1)[C:10]([N:8]([CH3:9])[CH2:7][CH2:6][C:4](=[O:5])[OH:36])=[O:11])[c:23]2[o:24][c:25]3[c:31]([cH:30][c:28]([F:29])[cH:27][cH:26]3)[c:32]2[CH3:33],TRUE,0.525346037,patent
COC(=O)C(CC(C)C)NCc1ccc(Br)cc1.O>>CC(C)CC(NCc1ccc(Br)cc1)C(=O)O,[CH3:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][CH:8]([CH3:9])[CH3:10])[NH:11][CH2:12][c:13]1[cH:14][cH:15][c:16]([Br:17])[cH:18][cH:19]1.[OH2:1]>>[OH:1][C:4](=[O:5])[CH:6]([CH2:7][CH:8]([CH3:9])[CH3:10])[NH:11][CH2:12][c:13]1[cH:14][cH:15][c:16]([Br:17])[cH:18][cH:19]1,CO[C:4](=[O:5])[CH:6]([CH2:7][CH:8]([CH3:9])[CH3:10])[NH:11][CH2:12][c:13]1[cH:14][cH:15][c:16]([Br:17])[cH:18][cH:19]1.[OH2:1]>>[OH:1][C:4](=[O:5])[CH:6]([CH2:7][CH:8]([CH3:9])[CH3:10])[NH:11][CH2:12][c:13]1[cH:14][cH:15][c:16]([Br:17])[cH:18][cH:19]1,C[O:17][C:15]([CH:5]([CH2:4][CH:2]([CH3:1])[CH3:3])[NH:6][CH2:7][c:8]1[cH:9][cH:10][c:11]([Br:12])[cH:13][cH:14]1)=[O:16].O>>[CH3:1][CH:2]([CH3:3])[CH2:4][CH:5]([NH:6][CH2:7][c:8]1[cH:9][cH:10][c:11]([Br:12])[cH:13][cH:14]1)[C:15](=[O:16])[OH:17],[OH2:19].[cH:14]1[cH:13][c:12]([cH:18][cH:17][c:15]1[Br:16])[CH2:11][NH:10][CH:5]([C:3](=[O:4])[O:2][CH3:1])[CH2:6][CH:7]([CH3:8])[CH3:9]>>[cH:14]1[cH:13][c:12]([cH:18][cH:17][c:15]1[Br:16])[CH2:11][NH:10][CH:5]([C:3]([OH:19])=[O:4])[CH2:6][CH:7]([CH3:8])[CH3:9],TRUE,0.681820087,patent
COc1ccc2c(OCCn3cc(C4C=CCCO4)ccc3=O)ccnc2c1>>COc1ccc2c(OCCn3cc(C4CCCCO4)ccc3=O)ccnc2c1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][CH2:9][CH2:10][n:11]3[cH:12][c:13]([CH:18]4[O:19][CH2:20][CH2:21][CH:22]=[CH:23]4)[cH:14][cH:15][c:16]3=[O:17])[cH:24][cH:25][n:26][c:27]2[cH:28]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][CH2:9][CH2:10][n:11]3[cH:12][c:13]([CH:18]4[O:19][CH2:20][CH2:21][CH2:22][CH2:23]4)[cH:14][cH:15][c:16]3=[O:17])[cH:24][cH:25][n:26][c:27]2[cH:28]1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][CH2:9][CH2:10][n:11]3[cH:12][c:13]([CH:18]4[O:19][CH2:20][CH2:21][CH:22]=[CH:23]4)[cH:14][cH:15][c:16]3=[O:17])[cH:24][cH:25][n:26][c:27]2[cH:28]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][CH2:9][CH2:10][n:11]3[cH:12][c:13]([CH:18]4[O:19][CH2:20][CH2:21][CH2:22][CH2:23]4)[cH:14][cH:15][c:16]3=[O:17])[cH:24][cH:25][n:26][c:27]2[cH:28]1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][CH2:9][CH2:10][n:11]3[cH:12][c:13]([CH:14]4[CH:15]=[CH:16][CH2:17][CH2:18][O:19]4)[cH:20][cH:21][c:22]3=[O:23])[cH:24][cH:25][n:26][c:27]2[cH:28]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][CH2:9][CH2:10][n:11]3[cH:12][c:13]([CH:14]4[CH2:15][CH2:16][CH2:17][CH2:18][O:19]4)[cH:20][cH:21][c:22]3=[O:23])[cH:24][cH:25][n:26][c:27]2[cH:28]1,[O:19]1[CH2:18][CH2:17][CH:16]=[CH:15][CH:14]1[c:13]2[cH:12][n:11]([CH2:10][CH2:9][O:8][c:7]3[cH:24][cH:25][n:26][c:27]4[cH:28][c:3]([O:2][CH3:1])[cH:4][cH:5][c:6]34)[c:22](=[O:23])[cH:21][cH:20]2>>[n:26]1[cH:25][cH:24][c:7]([c:6]2[cH:5][cH:4][c:3]([cH:28][c:27]12)[O:2][CH3:1])[O:8][CH2:9][CH2:10][n:11]3[c:22](=[O:23])[cH:21][cH:20][c:13]([CH:14]4[O:19][CH2:18][CH2:17][CH2:16][CH2:15]4)[cH:12]3,TRUE,0.989854952,patent
CC(C)(C)OC(=O)NC1CCN(N=C2CCN(c3ccncc3)CC2)C1=O>>CC(C)(C)OC(=O)NC1CCN(NC2CCN(c3ccncc3)CC2)C1=O,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([N:13]=[C:14]2[CH2:15][CH2:16][N:17]([c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[CH2:18][CH2:19]2)[C:26]1=[O:27]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([NH:13][CH:14]2[CH2:15][CH2:16][N:17]([c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[CH2:18][CH2:19]2)[C:26]1=[O:27],[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([N:13]=[C:14]2[CH2:15][CH2:16][N:17]([c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[CH2:18][CH2:19]2)[C:26]1=[O:27]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([NH:13][CH:14]2[CH2:15][CH2:16][N:17]([c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[CH2:18][CH2:19]2)[C:26]1=[O:27],[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([N:13]=[C:14]2[CH2:15][CH2:16][N:17]([c:18]3[cH:19][cH:20][n:21][cH:22][cH:23]3)[CH2:24][CH2:25]2)[C:26]1=[O:27]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([NH:13][CH:14]2[CH2:15][CH2:16][N:17]([c:18]3[cH:19][cH:20][n:21][cH:22][cH:23]3)[CH2:24][CH2:25]2)[C:26]1=[O:27],[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6]([NH:8][CH:9]1[C:26](=[O:27])[N:12]([N:13]=[C:14]2[CH2:25][CH2:24][N:17]([CH2:16][CH2:15]2)[c:18]3[cH:19][cH:20][n:21][cH:22][cH:23]3)[CH2:11][CH2:10]1)=[O:7]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6]([NH:8][CH:9]1[CH2:10][CH2:11][N:12]([NH:13][CH:14]2[CH2:25][CH2:24][N:17]([CH2:16][CH2:15]2)[c:18]3[cH:19][cH:20][n:21][cH:22][cH:23]3)[C:26]1=[O:27])=[O:7],TRUE,0.370938625,patent
COC(=O)CC1Nc2ccc(C(=O)NCc3cc4ccccc4[nH]3)cc2CN(C)C1=O.O>>CN1Cc2cc(C(=O)NCc3cc4ccccc4[nH]3)ccc2NC(CC(=O)O)C1=O,[CH3:2][O:3][C:4](=[O:5])[CH2:6][CH:7]1[NH:8][c:9]2[cH:10][cH:11][c:12]([C:20](=[O:21])[NH:22][CH2:23][c:24]3[cH:25][c:26]4[cH:27][cH:28][cH:29][cH:30][c:31]4[nH:32]3)[cH:13][c:14]2[CH2:15][N:16]([CH3:17])[C:18]1=[O:19].[OH2:1]>>[OH:1][C:4](=[O:5])[CH2:6][CH:7]1[NH:8][c:9]2[cH:10][cH:11][c:12]([C:20](=[O:21])[NH:22][CH2:23][c:24]3[cH:25][c:26]4[cH:27][cH:28][cH:29][cH:30][c:31]4[nH:32]3)[cH:13][c:14]2[CH2:15][N:16]([CH3:17])[C:18]1=[O:19],CO[C:4](=[O:5])[CH2:6][CH:7]1[NH:8][c:9]2[cH:10][cH:11][c:12]([C:20](=[O:21])[NH:22][CH2:23][c:24]3[cH:25][c:26]4[cH:27][cH:28][cH:29][cH:30][c:31]4[nH:32]3)[cH:13][c:14]2[CH2:15][N:16]([CH3:17])[C:18]1=[O:19].[OH2:1]>>[OH:1][C:4](=[O:5])[CH2:6][CH:7]1[NH:8][c:9]2[cH:10][cH:11][c:12]([C:20](=[O:21])[NH:22][CH2:23][c:24]3[cH:25][c:26]4[cH:27][cH:28][cH:29][cH:30][c:31]4[nH:32]3)[cH:13][c:14]2[CH2:15][N:16]([CH3:17])[C:18]1=[O:19],C[O:28][C:26]([CH2:25][CH:24]1[NH:23][c:22]2[c:4]([cH:5][c:6]([C:7](=[O:8])[NH:9][CH2:10][c:11]3[cH:12][c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]4[nH:19]3)[cH:20][cH:21]2)[CH2:3][N:2]([CH3:1])[C:29]1=[O:30])=[O:27].O>>[CH3:1][N:2]1[CH2:3][c:4]2[cH:5][c:6]([C:7](=[O:8])[NH:9][CH2:10][c:11]3[cH:12][c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]4[nH:19]3)[cH:20][cH:21][c:22]2[NH:23][CH:24]([CH2:25][C:26](=[O:27])[OH:28])[C:29]1=[O:30],[O:4]=[C:3]([CH2:5][CH:6]1[C:30](=[O:31])[N:28]([CH3:29])[CH2:27][c:26]2[cH:25][c:11]([cH:10][cH:9][c:8]2[NH:7]1)[C:12](=[O:13])[NH:14][CH2:15][c:16]3[nH:24][c:23]4[c:18]([cH:19][cH:20][cH:21][cH:22]4)[cH:17]3)[O:2][CH3:1].[OH2:32]>>[c:18]12[c:23]([nH:24][c:16]([CH2:15][NH:14][C:12](=[O:13])[c:11]3[cH:25][c:26]4[CH2:27][N:28]([C:30]([CH:6]([CH2:5][C:3](=[O:4])[OH:32])[NH:7][c:8]4[cH:9][cH:10]3)=[O:31])[CH3:29])[cH:17]1)[cH:22][cH:21][cH:20][cH:19]2,TRUE,0.965383326,patent
CCOC(=O)c1cn(C2CC2)c2c(F)c(F)c(F)c(C)c2c1=O.O>>Cc1c(F)c(F)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[c:7]1[cH:8][n:9]([CH:10]2[CH2:11][CH2:12]2)[c:13]2[c:14]([F:15])[c:16]([F:17])[c:18]([F:19])[c:20]([CH3:21])[c:22]2[c:23]1=[O:24].[OH2:1]>>[OH:1][C:5](=[O:6])[c:7]1[cH:8][n:9]([CH:10]2[CH2:11][CH2:12]2)[c:13]2[c:14]([F:15])[c:16]([F:17])[c:18]([F:19])[c:20]([CH3:21])[c:22]2[c:23]1=[O:24],CCO[C:5](=[O:6])[c:7]1[cH:8][n:9]([CH:10]2[CH2:11][CH2:12]2)[c:13]2[c:14]([F:15])[c:16]([F:17])[c:18]([F:19])[c:20]([CH3:21])[c:22]2[c:23]1=[O:24].[OH2:1]>>[OH:1][C:5](=[O:6])[c:7]1[cH:8][n:9]([CH:10]2[CH2:11][CH2:12]2)[c:13]2[c:14]([F:15])[c:16]([F:17])[c:18]([F:19])[c:20]([CH3:21])[c:22]2[c:23]1=[O:24],CC[O:16][C:14]([c:13]1[c:11](=[O:12])[c:10]2[c:2]([CH3:1])[c:3]([F:4])[c:5]([F:6])[c:7]([F:8])[c:9]2[n:18]([CH:19]2[CH2:20][CH2:21]2)[cH:17]1)=[O:15].O>>[CH3:1][c:2]1[c:3]([F:4])[c:5]([F:6])[c:7]([F:8])[c:9]2[c:10]1[c:11](=[O:12])[c:13]([C:14](=[O:15])[OH:16])[cH:17][n:18]2[CH:19]1[CH2:20][CH2:21]1,[CH2:10]1[CH2:11][CH:9]1[n:8]2[cH:7][c:6]([c:22]([c:21]3[c:19]([CH3:20])[c:17]([F:18])[c:15]([c:13]([F:14])[c:12]23)[F:16])=[O:23])[C:4]([O:3][CH2:2][CH3:1])=[O:5].[OH2:24]>>[CH2:10]1[CH2:11][CH:9]1[n:8]2[cH:7][c:6]([c:22]([c:21]3[c:19]([CH3:20])[c:17]([F:18])[c:15]([c:13]([F:14])[c:12]23)[F:16])=[O:23])[C:4]([OH:24])=[O:5],TRUE,0.842205925,patent
COc1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3cc(F)ccc3F)ccc2c1>>O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2cc(F)ccc2F)ccc2cc(O)ccc12,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[c:10]3[cH:11][cH:12][c:13]([O:14][CH2:15][CH2:16][N:17]4[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]4)[cH:23][cH:24]3)[c:25](-[c:30]3[cH:31][c:32]([F:33])[cH:34][cH:35][c:36]3[F:37])[cH:26][cH:27][c:28]2[cH:29]1>>[OH:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[c:10]3[cH:11][cH:12][c:13]([O:14][CH2:15][CH2:16][N:17]4[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]4)[cH:23][cH:24]3)[c:25](-[c:30]3[cH:31][c:32]([F:33])[cH:34][cH:35][c:36]3[F:37])[cH:26][cH:27][c:28]2[cH:29]1,C[O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[c:10]3[cH:11][cH:12][c:13]([O:14][CH2:15][CH2:16][N:17]4[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]4)[cH:23][cH:24]3)[c:25](-[c:30]3[cH:31][c:32]([F:33])[cH:34][cH:35][c:36]3[F:37])[cH:26][cH:27][c:28]2[cH:29]1>>[OH:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[c:10]3[cH:11][cH:12][c:13]([O:14][CH2:15][CH2:16][N:17]4[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]4)[cH:23][cH:24]3)[c:25](-[c:30]3[cH:31][c:32]([F:33])[cH:34][cH:35][c:36]3[F:37])[cH:26][cH:27][c:28]2[cH:29]1,C[O:33][c:32]1[cH:31][c:30]2[cH:29][cH:28][c:19](-[c:20]3[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]3[F:27])[c:18]([C:2](=[O:1])[c:3]3[cH:4][cH:5][c:6]([O:7][CH2:8][CH2:9][N:10]4[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]4)[cH:16][cH:17]3)[c:36]2[cH:35][cH:34]1>>[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH2:8][CH2:9][N:10]2[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]2)[cH:16][cH:17]1)[c:18]1[c:19](-[c:20]2[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]2[F:27])[cH:28][cH:29][c:30]2[cH:31][c:32]([OH:33])[cH:34][cH:35][c:36]12,[CH2:18]1[CH2:19][CH2:20][CH2:21][CH2:22][N:17]1[CH2:16][CH2:15][O:14][c:13]2[cH:12][cH:11][c:10]([cH:24][cH:23]2)[C:8]([c:7]3[c:6]4[cH:5][cH:4][c:3]([cH:37][c:36]4[cH:35][cH:34][c:25]3-[c:26]5[c:32]([F:33])[cH:31][cH:30][c:28]([F:29])[cH:27]5)[O:2][CH3:1])=[O:9]>>[cH:12]1[cH:11][c:10]([cH:24][cH:23][c:13]1[O:14][CH2:15][CH2:16][N:17]2[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]2)[C:8](=[O:9])[c:7]3[c:25](-[c:26]4[c:32]([F:33])[cH:31][cH:30][c:28]([F:29])[cH:27]4)[cH:34][cH:35][c:36]5[c:6]3[cH:5][cH:4][c:3]([cH:37]5)[OH:2],TRUE,0.948888417,patent
